gene_id	gene_description	module	subheader	topic_ecosystem	notes
K00043	gbd; 4-hydroxybutyrate dehydrogenase [EC:1.1.1.61]	Fermentation End Products	Organic Acids	eng_sys	Butyrate Production
K08318	yihU; 4-hydroxybutyrate dehydrogenase / sulfolactaldehyde 3-reductase [EC:1.1.1.61 1.1.1.373]	Fermentation End Products	Organic Acids	eng_sys	Butyrate Production
K18120	4hbD, abfH; 4-hydroxybutyrate dehydrogenase [EC:1.1.1.61]	Fermentation End Products	Organic Acids	eng_sys	Butyrate Production
K18121	glyoxylate/succinic semialdehyde reductase [EC:1.1.1.79 1.1.1.-]	Fermentation End Products	Organic Acids	eng_sys	Butyrate Production
K18122	cat2, abfT; 4-hydroxybutyrate CoA-transferase [EC:2.8.3.-]	Fermentation End Products	Organic Acids	eng_sys	Butyrate Production
K14534	4-hydroxybutyryl-CoA dehydratase [EC:4.2.1.120] [RN:R10782]	Fermentation End Products	Organic Acids	eng_sys	Butyrate Production
K01580	E4.1.1.15, gadB, gadA, GAD; glutamate decarboxylase [EC:4.1.1.15]	Fermentation End Products	Organic Acids	eng_sys	Butyrate Production
K13524	4-aminobutyrate aminotransferase / (S)-3-amino-2-methylpropionate transaminase [EC:2.6.1.19 2.6.1.22]	Fermentation End Products	Organic Acids	eng_sys	Butyrate Production
K07250	gabT; 4-aminobutyrate aminotransferase / (S)-3-amino-2-methylpropionate transaminase / 5-aminovalerate transaminase [EC:2.6.1.19 2.6.1.22 2.6.1.48]	Fermentation End Products	Organic Acids	eng_sys	Butyrate Production
K14268	davT, gabT; 5-aminovalerate/4-aminobutyrate aminotransferase [EC:2.6.1.48 2.6.1.19]	Fermentation End Products	Organic Acids	eng_sys	Butyrate Production
K00823	puuE; 4-aminobutyrate aminotransferase [EC:2.6.1.19]	Fermentation End Products	Organic Acids	eng_sys	Butyrate Production
K16871	4-aminobutyrate---pyruvate transaminase [EC:2.6.1.96]	Fermentation End Products	Organic Acids	eng_sys	Butyrate Production
K01843	kamA; lysine 2,3-aminomutase [EC:5.4.3.2]	Fermentation End Products	Organic Acids	eng_sys	Butyrate Production
K00016	L-lactate dehydrogenase	Fermentation End Products	Organic Acids	eng_sys	Lactate Production
K00886	polyphosphate glucokinase [EC:2.7.1.63] [RN:R02189]	Fermentation End Products	Organic Acids	eng_sys	Lactate Production
K08074	K00918 ADP-dependent glucokinase [EC:2.7.1.147] [RN:R09085]	Fermentation End Products	Organic Acids	eng_sys	Lactate Production
K00918	ADP-dependent phosphofructokinase [EC:2.7.1.146] [RN:R09084]	Fermentation End Products	Organic Acids	eng_sys	Lactate Production
K01810	glucose-6-phosphate isomerase [EC:5.3.1.9] [RN:R02740 R02739]	Fermentation End Products	Organic Acids	eng_sys	Lactate Production
K06859	glucose-6-phosphate isomerase [EC:5.3.1.9] [RN:R02740 R02739]	Fermentation End Products	Organic Acids	eng_sys	Lactate Production
K13810	glucose-6-phosphate isomerase [EC:5.3.1.9] [RN:R02740 R02739]	Fermentation End Products	Organic Acids	eng_sys	Lactate Production
K15916	glucose-6-phosphate isomerase [EC:5.3.1.9] [RN:R02740 R02739]	Fermentation End Products	Organic Acids	eng_sys	Lactate Production
K24182	6-phosphofructokinase [EC:2.7.1.11]	Fermentation End Products	Organic Acids	eng_sys	Lactate Production
K00850	6-phosphofructokinase [EC:2.7.1.11] [RN:R04779]	Fermentation End Products	Organic Acids	eng_sys	Lactate Production
K16370	6-phosphofructokinase [EC:2.7.1.11] [RN:R04779]	Fermentation End Products	Organic Acids	eng_sys	Lactate Production
K21071	pfk, pfp; ATP-dependent phosphofructokinase / diphosphate-dependent phosphofructokinase [EC:2.7.1.11 2.7.1.90]	Fermentation End Products	Organic Acids	eng_sys	Lactate Production
K00895	pfp; diphosphate-dependent phosphofructokinase [EC:2.7.1.90]	Fermentation End Products	Organic Acids	eng_sys	Lactate Production
K01623	fructose-bisphosphate aldolase [EC:4.1.2.13] [RN:R01070]	Fermentation End Products	Organic Acids	eng_sys	Lactate Production
K01624	fructose-bisphosphate aldolase [EC:4.1.2.13] [RN:R01070]	Fermentation End Products	Organic Acids	eng_sys	Lactate Production
K01622	fructose 1,6-bisphosphate aldolase/phosphatase [EC:4.1.2.13 3.1.3.11] [RN:R01070 R04780]	Fermentation End Products	Organic Acids	eng_sys	Lactate Production
K11645	fructose-bisphosphate aldolase [EC:4.1.2.13] [RN:R01070]	Fermentation End Products	Organic Acids	eng_sys	Lactate Production
K16305	fructose-bisphosphate aldolase [EC:4.1.2.13] [RN:R01070]	Fermentation End Products	Organic Acids	eng_sys	Lactate Production
K16306	fructose-bisphosphate aldolase [EC:4.1.2.13] [RN:R01070]	Fermentation End Products	Organic Acids	eng_sys	Lactate Production
K00134	glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12 1.2.1.59] [RN:R01061 R01063]	Fermentation End Products	Organic Acids	eng_sys	Lactate Production
K00150	glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12 1.2.1.59] [RN:R01061 R01063]	Fermentation End Products	Organic Acids	eng_sys	Lactate Production
K00927	phosphoglycerate kinase [EC:2.7.2.3] [RN:R01512]	Fermentation End Products	Organic Acids	eng_sys	Lactate Production
K01837	BPGM; bisphosphoglycerate/phosphoglycerate mutase [EC:5.4.2.4 5.4.2.11]	Fermentation End Products	Organic Acids	eng_sys	Lactate Production
K01834	phosphoglycerate mutase [EC:5.4.2.11 5.4.2.12] [RN:R01518]	Fermentation End Products	Organic Acids	eng_sys	Lactate Production
K15633	phosphoglycerate mutase [EC:5.4.2.11 5.4.2.12] [RN:R01518]	Fermentation End Products	Organic Acids	eng_sys	Lactate Production
K15634	phosphoglycerate mutase [EC:5.4.2.11 5.4.2.12] [RN:R01518]	Fermentation End Products	Organic Acids	eng_sys	Lactate Production
K15635	phosphoglycerate mutase [EC:5.4.2.11 5.4.2.12] [RN:R01518]	Fermentation End Products	Organic Acids	eng_sys	Lactate Production
K01689	enolase [EC:4.2.1.11] [RN:R00658]	Fermentation End Products	Organic Acids	eng_sys	Lactate Production
K27394	ENO4; enolase 4	Fermentation End Products	Organic Acids	eng_sys	Lactate Production
K00873	pyruvate kinase [EC:2.7.1.40] [RN:R00200]	Fermentation End Products	Organic Acids	eng_sys	Lactate Production
K12406	pyruvate kinase [EC:2.7.1.40] [RN:R00200]	Fermentation End Products	Organic Acids	eng_sys	Lactate Production
K01053	gluconolactonase	Fermentation End Products	Organic Acids	eng_sys	Lactate Production
K05308	gluconate dehydratase [EC:4.2.1.140] [RN:R01538]	Fermentation End Products	Organic Acids	eng_sys	Lactate Production
K11395	2-dehydro-3-deoxy-phosphogluconate/2-dehydro-3-deoxy-6-phosphogalactonate aldolase [EC:4.1.2.55] [RN:R08570 R10616]	Fermentation End Products	Organic Acids	eng_sys	Lactate Production
K18127	2-dehydro-3-deoxy-D-gluconate aldolase [EC:4.1.2.51] [RN:R08570 R10616]	Fermentation End Products	Organic Acids	eng_sys	Lactate Production
K00122	formate dehydrogenase [EC:1.17.1.9]	Fermentation End Products	Organic Acids	eng_sys	Formate Production
K00123	formate dehydrogenase major subunit [EC:1.17.1.9]	Fermentation End Products	Organic Acids	eng_sys	Formate Production
K00124	formate dehydrogenase iron-sulfur subunit	Fermentation End Products	Organic Acids	eng_sys	Formate Production
K00125	formate dehydrogenase (coenzyme F420) [EC:1.8.98.6] [RN:R11944]	Fermentation End Products	Organic Acids	eng_sys	Formate Production
K00126	formate dehydrogenase subunit delta [EC:1.17.1.9]	Fermentation End Products	Organic Acids	eng_sys	Formate Production
K00244	succinate dehydrogenase / fumarate reductase [EC:1.3.5.1 1.3.5.4] [RN:R02164]	Fermentation End Products	Organic Acids	eng_sys	Succinate Production
K00245	succinate dehydrogenase / fumarate reductase [EC:1.3.5.1 1.3.5.4] [RN:R02164]	Fermentation End Products	Organic Acids	eng_sys	Succinate Production
K00246	succinate dehydrogenase / fumarate reductase [EC:1.3.5.1 1.3.5.4] [RN:R02164]	Fermentation End Products	Organic Acids	eng_sys	Succinate Production
K00247	succinate dehydrogenase / fumarate reductase [EC:1.3.5.1 1.3.5.4] [RN:R02164]	Fermentation End Products	Organic Acids	eng_sys	Succinate Production
K13953	alcohol dehydrogenase [EC:1.1.1.1]	Fermentation End Products	Alcohols	eng_sys	Ethanol Production
K04072	alcohol dehydrogenase [EC:1.1.1.1]	Fermentation End Products	Alcohols	eng_sys	Ethanol Production
K00100	bdhAB; butanol dehydrogenase [EC:1.1.1.-]	Fermentation End Products	Alcohols	eng_sys	Butanol Production
K00544	betaine-homocysteine S-methyltransferase [EC:2.1.1.5]	Fermentation End Products	Alcohols	eng_sys	Butanol Production
K00634	phosphate butyryltransferase [EC:2.3.1.19]	Fermentation End Products	Alcohols	eng_sys	Butanol Production
K00929	butyrate kinase [EC:2.7.2.7]	Fermentation End Products	Alcohols	eng_sys	Butanol Production
K01896	medium-chain acyl-CoA synthetase [EC:6.2.1.2]	Fermentation End Products	Alcohols	eng_sys	Butanol Production
AlkB	HMM; alkB; AlkB-type alkane hydroxylase	Carbon Degradation	Aerobic Hydrocarbons	eng_sys	Aerobic Alkane Degradation
AlmA_GroupI	HMM; almA; Flavin-binding monooxygenase	Carbon Degradation	Aerobic Hydrocarbons	eng_sys	Aerobic Alkane Degradation
AlmA_GroupIII	HMM; almA; Flavin-binding monooxygenase	Carbon Degradation	Aerobic Hydrocarbons	eng_sys	Aerobic Alkane Degradation
pBmoA	HMM; bmoA_butane; butane monooxygenase (particulate)	Carbon Degradation	Aerobic Hydrocarbons	eng_sys	Aerobic Alkane Degradation
pBmoB	HMM; bmoB; butane monooxygenase (particulate)	Carbon Degradation	Aerobic Hydrocarbons	eng_sys	Aerobic Alkane Degradation
pBmoC	HMM; bmoC; butane monooxygenase (particulate)	Carbon Degradation	Aerobic Hydrocarbons	eng_sys	Aerobic Alkane Degradation
sBmoX	HMM; bmoX (alpha subunit); butane monooxygenase (soluble) complex	Carbon Degradation	Aerobic Hydrocarbons	eng_sys	Aerobic Alkane Degradation
sBmoY	HMM; bmoY; butane monooxygenase (soluble) complex	Carbon Degradation	Aerobic Hydrocarbons	eng_sys	Aerobic Alkane Degradation
sBmoZ	HMM; bmoZ; butane monooxygenase (soluble) complex	Carbon Degradation	Aerobic Hydrocarbons	eng_sys	Aerobic Alkane Degradation
CYP153	HMM; Cyp153; Cytochrome P450 alkane hydroxylase	Carbon Degradation	Aerobic Hydrocarbons	eng_sys	Aerobic Alkane Degradation
LadA_alpha	HMM; ladA_alpha; Long-chain alkane monooxygenase	Carbon Degradation	Aerobic Hydrocarbons	eng_sys	Aerobic Alkane Degradation
LadA_beta	HMM; ladA_beta; long-chain alkane hydrolase	Carbon Degradation	Aerobic Hydrocarbons	eng_sys	Aerobic Alkane Degradation
LadB	HMM; ladB; long-chain alkane hydrolase	Carbon Degradation	Aerobic Hydrocarbons	eng_sys	Aerobic Alkane Degradation
PrmA	HMM; prmA; Propane 2-monoxygenase	Carbon Degradation	Aerobic Hydrocarbons	eng_sys	Aerobic Alkane Degradation
PrmC	HMM; prmC; Propane 2-monoxygenase	Carbon Degradation	Aerobic Hydrocarbons	eng_sys	Aerobic Alkane Degradation
MAH_alpha	HMM; broad; Monoaromatic dioxygenase	Carbon Degradation	Aerobic Hydrocarbons	eng_sys	Aerobic Aromatic Degradation (General)
MAH_beta	HMM; tcbAb, todC2, bphAb; Monoaromatic dioxygenase beta subunit	Carbon Degradation	Aerobic Hydrocarbons	eng_sys	Aerobic Aromatic Degradation (General)
DmpO	HMM; dmpO; Phenol hydroxylase	Carbon Degradation	Aerobic Hydrocarbons	eng_sys	Aerobic Aromatic Degradation (General)
DszC	HMM; dszC (soxC); Dibenzothiophene desulfurization enzyme C	Carbon Degradation	Aerobic Hydrocarbons	eng_sys	Aerobic Aromatic Degradation (General)
TmoA_BmoA	HMM; tmoA; Toluene/Benzene 4-monooxygenase	Carbon Degradation	Aerobic Hydrocarbons	eng_sys	Aerobic Aromatic Degradation (General)
TmoB_BmoB	HMM; tmoB; Toluene/Benzene 4-monooxygenase	Carbon Degradation	Aerobic Hydrocarbons	eng_sys	Aerobic Aromatic Degradation (General)
TmoE	HMM; tmoE; Toluene 4-monooxygenase	Carbon Degradation	Aerobic Hydrocarbons	eng_sys	Aerobic Aromatic Degradation (General)
TomA1	HMM; tomA1; Toluene 2-monooxygenase/Phenol Hydroxylase	Carbon Degradation	Aerobic Hydrocarbons	eng_sys	Aerobic Aromatic Degradation (General)
TomA3	HMM; tomA3; Toluene 2-monooxygenase/Phenol Hydroxylase	Carbon Degradation	Aerobic Hydrocarbons	eng_sys	Aerobic Aromatic Degradation (General)
TomA4	HMM; tomA4; Toluene 2-monooxygenase/Phenol Hydroxylase	Carbon Degradation	Aerobic Hydrocarbons	eng_sys	Aerobic Aromatic Degradation (General)
NdoB	HMM; ndoB; Naphthalene 1,2-dioxygenase alpha	Carbon Degradation	Aerobic Hydrocarbons	eng_sys	Aerobic Aromatic Degradation (General)
NdoC	HMM; ndoC; Polyaromatic/Naphthalene 1,2-dioxygenase beta subunit	Carbon Degradation	Aerobic Hydrocarbons	eng_sys	Aerobic Aromatic Degradation (General)
non_NdoB_type	HMM; non ndoB; Naphthalene 1,2-dioxygenase alpha	Carbon Degradation	Aerobic Hydrocarbons	eng_sys	Aerobic Aromatic Degradation (General)
AhyA	HMM; ahyA; Alkane C2 methylene hydroxylase (putative)	Carbon Degradation	Anaerobic Hydrocarbons	eng_sys	Anaerobic Alkane Degradation
AssA	HMM; masD/assA; 1-methylalkyl (alkyl) succinate synthase	Carbon Degradation	Anaerobic Hydrocarbons	eng_sys	Anaerobic Alkane Degradation
CmdA	HMM; cmdA; p-cymene dehydrogenase	Carbon Degradation	Anaerobic Hydrocarbons	eng_sys	Anaerobic Aromatic Degradation (General)
EbdA	HMM; ebdA; Ethylbenzene dehydrogenase	Carbon Degradation	Anaerobic Hydrocarbons	eng_sys	Anaerobic Aromatic Degradation (General)
BssA	HMM; bssA/ibsA; Benzyl/(4-Isopropylbenzyl) succinate synthase	Carbon Degradation	Anaerobic Hydrocarbons	eng_sys	Anaerobic Aromatic Degradation (General)
AbcA_1	HMM; abcA1; Benzene carboxylase	Carbon Degradation	Anaerobic Hydrocarbons	eng_sys	Anaerobic Aromatic Degradation (General)
AbcA_2	HMM; abcA2; Benzene carboxylase	Carbon Degradation	Anaerobic Hydrocarbons	eng_sys	Anaerobic Aromatic Degradation (General)
NmsA	HMM; nmsA; Naphthyl 2-methylsuccinate synthase	Carbon Degradation	Anaerobic Hydrocarbons	eng_sys	Anaerobic Aromatic Degradation (General)
K27540	HMM; K27540; Naphthalene carboxylase	Carbon Degradation	Anaerobic Hydrocarbons	eng_sys	Anaerobic Aromatic Degradation (General)
GH5	GH5 endo-beta-1,4-glucanase / cellulase (EC:3.2.1.4); endo-beta-1,4-xylanase (EC:3.2.1.8); beta-glucosidase (EC:3.2.1.21); beta-mannosidase (EC:3.2.1.25); beta-glucosylceramidase (EC:3.2.1.45); glucan beta-1,3-glucosidase (EC:3.2.1.58); licheninase (EC:3.2.1.73); exo-beta-1,4-glucanase / cellodextrinase (EC:3.2.1.74); glucan endo-1,6-beta-glucosidase (EC:3.2.1.75); mannan endo-beta-1,4-mannosidase (EC:3.2.1.78); cellulose beta-1,4-cellobiosidase (EC:3.2.1.91); steryl beta-glucosidase (EC:3.2.1.104); endoglycoceramidase (EC:3.2.1.123); chitosanase (EC:3.2.1.132); beta-primeverosidase (EC:3.2.1.149); xyloglucan-specific endo-beta-1,4-glucanase (EC:3.2.1.151); endo-beta-1,6-galactanase (EC:3.2.1.164); hesperidin 6-O-alpha-L-rhamnosyl-beta-glucosidase (EC:3.2.1.168); beta-1,3-mannanase (EC:3.2.1.-); arabinoxylan-specific endo-beta-1,4-xylanase (EC:3.2.1.-); mannan transglycosylase (EC:2.4.1.-); lichenase / endo-beta-1,3-1,4-glucanase (EC:3.2.1.73); beta-glycosidase (EC:3.2.1.-); endo-beta-1,3-glucanase / laminarinase (EC:3.2.1.39); beta-N-acetylhexosaminidase (EC:3.2.1.52); chitosanase (EC:3.2.1.132); beta-D-galactofuranosidase (EC:3.2.1.146);	Carbon Degradation	Polymers	eng_sys	Cellulose Degradation
GH6	GH6 endoglucanase (EC:3.2.1.4); cellobiohydrolase (EC:3.2.1.91)	Carbon Degradation	Polymers	eng_sys	Cellulose Degradation
GH7	GH7 endo-beta-1,4-glucanase (EC:3.2.1.4); reducing end-acting cellobiohydrolase (EC:3.2.1.176); chitosanase (EC:3.2.1.132); endo-beta-1,3-1,4-glucanase (EC:3.2.1.73)	Carbon Degradation	Polymers	eng_sys	Cellulose Degradation
GH8	GH8 chitosanase (EC:3.2.1.132); cellulase (EC:3.2.1.4); licheninase (EC:3.2.1.73); endo-1,4-beta-xylanase (EC:3.2.1.8); reducing-end-xylose releasing exo-oligoxylanase (EC:3.2.1.156)	Carbon Degradation	Polymers	eng_sys	Cellulose Degradation
GH9	GH9 endoglucanase (EC:3.2.1.4); endo-beta-1,3(4)-glucanase / lichenase-laminarinase (EC:3.2.1.6); beta-glucosidase (EC:3.2.1.21); lichenase / endo-beta-1,3-1,4-glucanase (EC:3.2.1.73); exo-beta-1,4-glucanase / cellodextrinase (EC:3.2.1.74); cellobiohydrolase (EC:3.2.1.91); xyloglucan-specific endo-beta-1,4-glucanase / endo-xyloglucanase (EC:3.2.1.151); exo-beta-glucosaminidase (EC:3.2.1.165)	Carbon Degradation	Polymers	eng_sys	Cellulose Degradation
GH10	GH10 endo-1,4-beta-xylanase (EC:3.2.1.8); endo-1,3-beta-xylanase (EC:3.2.1.32); tomatinase (EC:3.2.1.-); xylan endotransglycosylase (EC:2.4.2.-); endo-beta-1,4-glucanase (EC:3.2.1.4)	Carbon Degradation	Polymers	eng_sys	Cellulose Degradation
GH12	GH12 endoglucanase (EC:3.2.1.4); xyloglucan hydrolase (EC:3.2.1.151); beta-1,3-1,4-glucanase (EC:3.2.1.73); xyloglucan endotransglycosylase (EC:2.4.1.207)	Carbon Degradation	Polymers	eng_sys	Cellulose Degradation
GH44	GH44 endoglucanase (EC:3.2.1.4); xyloglucanase (EC:3.2.1.151)	Carbon Degradation	Polymers	eng_sys	Cellulose Degradation
GH45	GH45 endoglucanase (EC:3.2.1.4); xyloglucan-specific endo-beta-1,4-glucanase / endo-xyloglucanase (EC:3.2.1.151); endo-beta-1,4-mannanase (EC:3.2.1.78)	Carbon Degradation	Polymers	eng_sys	Cellulose Degradation
GH48	GH48 reducing end-acting cellobiohydrolase (EC:3.2.1.176); endo-beta-1,4-glucanase (EC:3.2.1.4); chitinase (EC:3.2.1.14)	Carbon Degradation	Polymers	eng_sys	Cellulose Degradation
GH124	GH124 endoglucanase (EC:3.2.1.4)	Carbon Degradation	Polymers	eng_sys	Cellulose Degradation
GH1	GH1 beta-glucosidase (EC:3.2.1.21); beta-galactosidase (EC:3.2.1.23); beta-mannosidase (EC:3.2.1.25); beta-glucuronidase (EC:3.2.1.31); beta-xylosidase (EC:3.2.1.37); beta-D-fucosidase (EC:3.2.1.38); phlorizin hydrolase (EC:3.2.1.62); exo-beta-1,4-glucanase (EC:3.2.1.74); 6-phospho-beta-galactosidase (EC:3.2.1.85); 6-phospho-beta-glucosidase (EC:3.2.1.86); strictosidine beta-glucosidase (EC:3.2.1.105); lactase (EC:3.2.1.108); amygdalin beta-glucosidase (EC:3.2.1.117); prunasin beta-glucosidase (EC:3.2.1.118); vicianin hydrolase (EC:3.2.1.119); raucaffricine beta-glucosidase (EC:3.2.1.125); thioglucosidase (EC:3.2.1.147); beta-primeverosidase (EC:3.2.1.149); isoflavonoid 7-O-beta-apiosyl-beta-glucosidase (EC:3.2.1.161); ABA-specific beta-glucosidase (EC:3.2.1.175); DIMBOA beta-glucosidase (EC:3.2.1.182); beta-glycosidase (EC:3.2.1.-); hydroxyisourate hydrolase (EC:3.-.-.-)	Carbon Degradation	Polymers	eng_sys	Cellulose Degradation
GH3	GH3 beta-glucosidase (EC:3.2.1.21); xylan 1,4-beta-xylosidase (EC:3.2.1.37); beta-glucosylceramidase (EC:3.2.1.45); beta-N-acetylhexosaminidase (EC:3.2.1.52); alpha-L-arabinofuranosidase (EC:3.2.1.55); glucan 1,3-beta-glucosidase (EC:3.2.1.58); glucan 1,4-beta-glucosidase (EC:3.2.1.74); isoprimeverose-producing oligoxyloglucan hydrolase (EC:3.2.1.120); coniferin beta-glucosidase (EC:3.2.1.126); exo-1,3-1,4-glucanase (EC:3.2.1.-); beta-N-acetylglucosaminide phosphorylases (EC:2.4.1.-)	Carbon Degradation	Polymers	eng_sys	Cellulose Degradation
GH94	GH94 cellobiose phosphorylase (EC:2.4.1.20); laminaribiose phosphorylase (EC:2.4.1.31); cellodextrin phosphorylase (EC:2.4.1.49); chitobiose phosphorylase (EC:2.4.1.-); cyclic beta-1,2-glucan synthase (EC:2.4.1.-); cellobionic acid phosphorylase (EC:2.4.1.321); beta-1,2-oligoglucan phosphorylase (EC:2.4.1.-)	Carbon Degradation	Polymers	eng_sys	Cellulose Degradation
GH116	GH116 beta-glucosidase (EC:3.2.1.21); beta-xylosidase (EC:3.2.1.37); acid beta-glucosidase/beta-glucosylceramidase (EC:3.2.1.45); beta-N-acetylglucosaminidase (EC:3.2.1.52)	Carbon Degradation	Polymers	eng_sys	Cellulose Degradation
AA9	AA9 (formerly GH61) proteins are copper-dependent lytic polysaccharide monooxygenases (LPMOs); cleavage of cellulose chains with oxidation of carbons C1 and/or C4 and C-6); lytic cellulose monooxygenase (C1-hydroxylating) (EC:1.14.99.54); lytic cellulose monooxygenase (C4-dehydrogenating) (EC:1.14.99.56)	Carbon Degradation	Polymers	eng_sys	Cellulose Degradation
AA10	AA10 (formerly CBM33) proteins are copper-dependent lytic polysaccharide monooxygenases (LPMOs); some proteins have been shown to act on chitin, others on cellulose; lytic cellulose monooxygenase (C1-hydroxylating) (EC:1.14.99.54); lytic cellulose monooxygenase (C4-dehydrogenating)(EC:1.14.99.56); lytic chitin monooxygenase (EC:1.14.99.53)	Carbon Degradation	Polymers	eng_sys	Cellulose Degradation
AA15	AA15 lytic cellulose monooxygenase (C1-hydroxylating) (EC:1.14.99.54); lytic chitin monooxygenase (EC:1.14.99.53)	Carbon Degradation	Polymers	eng_sys	Cellulose Degradation
AA16	AA16 Lytic cellulose monooxygenase (C1-hydroxylating) (EC:1.14.99.54)	Carbon Degradation	Polymers	eng_sys	Cellulose Degradation
GH11	GH11 endo-beta-1,4-xylanase (EC:3.2.1.8); endo-beta-1,3-xylanase (EC:3.2.1.32)	Carbon Degradation	Polymers	eng_sys	Hemicellulose Degradation
GH16	GH16 xyloglucan:xyloglucosyltransferase (EC:2.4.1.207); keratan-sulfate endo-1,4-beta-galactosidase (EC:3.2.1.103); endo-1,3-beta-glucanase / laminarinase (EC:3.2.1.39); endo-1,3(4)-beta-glucanase (EC:3.2.1.6); licheninase (EC:3.2.1.73); beta-agarase (EC:3.2.1.81); kappa;-carrageenase (EC:3.2.1.83); xyloglucanase (EC:3.2.1.151); endo-beta-1,3-galactanase (EC:3.2.1.181); [retaining] beta-porphyranase (EC:3.2.1.178); hyaluronidase (EC:3.2.1.35); endo-beta-1,4-galactosidase (EC:3.2.1.-); chitin beta-1,6-glucanosyltransferase (EC:2.4.1.-); beta-transglycosidase (EC:2.4.1.-); beta-glycosidase (EC:3.2.1.-); endo-beta-1,3-galactanase (EC:3.2.1.181)	Carbon Degradation	Polymers	eng_sys	Hemicellulose Degradation
GH26	GH26 beta-mannanase (EC:3.2.1.78); exo-beta-1,4-mannobiohydrolase (EC:3.2.1.100); beta-1,3-xylanase (EC:3.2.1.32); lichenase / endo-beta-1,3-1,4-glucanase (EC:3.2.1.73); mannobiose-producing exo-beta-mannanase (EC:3.2.1.-)	Carbon Degradation	Polymers	eng_sys	Hemicellulose Degradation
GH74	GH74 endoglucanase (EC:3.2.1.4); oligoxyloglucan reducing end-specific cellobiohydrolase (EC:3.2.1.150); xyloglucanase (EC:3.2.1.151)	Carbon Degradation	Polymers	eng_sys	Hemicellulose Degradation
GH113	GH113 beta-mannanase (EC:3.2.1.78)	Carbon Degradation	Polymers	eng_sys	Hemicellulose Degradation
GH134	GH134 endo-beta-1,4-mannanase (EC:3.2.1.78);	Carbon Degradation	Polymers	eng_sys	Hemicellulose Degradation
GH2	GH2 beta-galactosidase (EC:3.2.1.23) ; beta-mannosidase (EC:3.2.1.25); beta-glucuronidase (EC:3.2.1.31); alpha-L-arabinofuranosidase (EC:3.2.1.55); mannosylglycoprotein endo-beta-mannosidase (EC:3.2.1.152); exo-beta-glucosaminidase (EC:3.2.1.165); alpha-L-arabinopyranosidase (EC:3.2.1.-); beta-galacturonidase (EC:3.2.1.-); beta-xylosidase (EC:3.2.1.37); beta-D-galactofuranosidase (EC:3.2.1.146);	Carbon Degradation	Polymers	eng_sys	Hemicellulose Degradation
GH31	GH31 alpha-glucosidase (EC:3.2.1.20); alpha-galactosidase (EC:3.2.1.22); alpha-mannosidase (EC:3.2.1.24); alpha-1,3-glucosidase (EC:3.2.1.84); sucrase-isomaltase (EC:3.2.1.48) (EC:3.2.1.10); alpha-xylosidase (EC:3.2.1.177); alpha-glucan lyase (EC:4.2.2.13); isomaltosyltransferase (EC:2.4.1.-); oligosaccharide alpha-1,4-glucosyltransferase (EC:2.4.1.161); sulfoquinovosidase (EC:3.2.1.-)	Carbon Degradation	Polymers	eng_sys	Hemicellulose Degradation
GH38	GH38 alpha-mannosidase (EC:3.2.1.24); mannosyl-oligosaccharide alpha-1,2-mannosidase (EC:3.2.1.113); mannosyl-oligosaccharide alpha-1,3-1,6-mannosidase (EC:3.2.1.114); alpha-2-O-mannosylglycerate hydrolase (EC:3.2.1.170); mannosyl-oligosaccharide alpha-1,3-mannosidase (EC:3.2.1.-)	Carbon Degradation	Polymers	eng_sys	Hemicellulose Degradation
GH43	GH43 beta-xylosidase (EC:3.2.1.37); alpha-L-arabinofuranosidase (EC:3.2.1.55); xylanase (EC:3.2.1.8); alpha-1,2-L-arabinofuranosidase (EC:3.2.1.-); exo-alpha-1,5-L-arabinofuranosidase (EC:3.2.1.-); [inverting] exo-alpha-1,5-L-arabinanase (EC:3.2.1.-); beta-1,3-xylosidase (EC:3.2.1.-); [inverting] exo-alpha-1,5-L-arabinanase (EC:3.2.1.-); [inverting] endo-alpha-1,5-L-arabinanase (EC:3.2.1.99); exo-beta-1,3-galactanase (EC:3.2.1.145); beta-D-galactofuranosidase (EC:3.2.1.146)	Carbon Degradation	Polymers	eng_sys	Hemicellulose Degradation
GH51	GH51 endoglucanase (EC:3.2.1.4); endo-beta-1,4-xylanase (EC:3.2.1.8); beta-xylosidase (EC:3.2.1.37); alpha-L-arabinofuranosidase (EC:3.2.1.55); lichenase / endo-beta-1,3-1,4-glucanase (EC:3.2.1.73)	Carbon Degradation	Polymers	eng_sys	Hemicellulose Degradation
GH63	GH63 processing alpha-glucosidase (EC:3.2.1.106); alpha-1,3-glucosidase (EC:3.2.1.84); alpha-glucosidase (EC:3.2.1.20); mannosylglycerate alpha-mannosidase / mannosylglycerate hydrolase (EC:3.2.1.170); glucosylglycerate hydrolase (EC:3.2.1.208)	Carbon Degradation	Polymers	eng_sys	Hemicellulose Degradation
