gene_id	gene_description	pathway	module	subheader	topic_ecosystem	note	reference
K00362	nrfA, cytochrome c nitrite reductase large subunit [EC:1.7.2.2]	Dissimilatory nitrate reduction = nitrite → ammonia (via Nrf complex)	Inorganic Nitrogen Transformations	N Reduction	ag
K00363	nrfH, cytochrome c nitrite reductase small subunit	Dissimilatory nitrate reduction = nitrite → ammonia (via Nrf complex)	Inorganic Nitrogen Transformations	N Reduction	ag
K03385	nirB, nitrite reductase (NADH) large subunit [EC:1.7.1.15]	Dissimilatory nitrate reduction = nitrite → ammonia (via NirBD complex)	Inorganic Nitrogen Transformations	N Reduction	ag
K15876	nirD, nitrite reductase (NADH) small subunit [EC:1.7.1.15]	Dissimilatory nitrate reduction = nitrite → ammonia (via NirBD complex)	Inorganic Nitrogen Transformations	N Reduction	ag
K28504	ammonia monooxygenase subunit C [EC:1.14.99.39] [RN:R00148]	Nitrification = ammonia => hydroxylamine	Inorganic Nitrogen Transformations	Aerobic Ammonium Oxidation	ag
K28504	ammonia monooxygenase [EC:1.14.99.39] [RN:R00148]	Nitrification = ammonia => hydroxylamine	Inorganic Nitrogen Transformations	Aerobic Ammonium Oxidation	ag
K10945	ammonia monooxygenase [EC:1.14.99.39] [RN:R00148]	Nitrification = ammonia => hydroxylamine	Inorganic Nitrogen Transformations	Aerobic Ammonium Oxidation	ag
K10946	ammonia monooxygenase [EC:1.14.99.39] [RN:R00148]	Nitrification = ammonia => hydroxylamine	Inorganic Nitrogen Transformations	Aerobic Ammonium Oxidation	ag
K10535	hydroxylamine oxidase [EC:1.7.2.6] [RN:R10164]	Nitrification= hydroxylamine => nitrite	Inorganic Nitrogen Transformations	Aerobic Ammonium Oxidation	ag
K15864	nirS; hydroxylamine reductase, anammox	Nitrite → nitric oxide	Inorganic Nitrogen Transformations	Anaerobic Ammonium	ag
K20932	hydrazine synthase subunit [EC:1.7.2.7]	Nitric oxide + ammonium → hydrazine (HZS complex)	Inorganic Nitrogen Transformations	Anaerobic Ammonium	ag
K20935	hydrazine dehydrogenase [EC:1.7.2.8]	Hydrazine → dinitrogen gas (N₂)	Inorganic Nitrogen Transformations	Anaerobic Ammonium	ag
K00368	nirK, nitrite reductase (NO-forming) [EC:1.7.2.1]	Nitrite → nitric oxide	Inorganic Nitrogen Transformations	Anaerobic Ammonium Oxidation	ag
K20933	hzsB, hydrazine synthase subunit B [EC:1.7.2.7]	Nitric oxide + ammonium → hydrazine (HZS complex)	Inorganic Nitrogen Transformations	Anaerobic Ammonium Oxidation	ag
K20934	hzsC, hydrazine synthase subunit C [EC:1.7.2.7]	Nitric oxide + ammonium → hydrazine (HZS complex)	Inorganic Nitrogen Transformations	Anaerobic Ammonium Oxidation	ag
K01428	ureC, urease subunit alpha (largest alpha unit of protein structure)	Urea → CO₂ + NH₃	Organic Nitrogen Transformations	Urease	ag
K01429	ureB, urease subunit beta	Urea → CO₂ + NH₃	Organic Nitrogen Transformations	Urease	ag
K01430	ureA, urease subunit gamma	Urea → CO₂ + NH₃	Organic Nitrogen Transformations	Urease	ag
K01426	Amidase, amiE [EC:3.5.1.4]	R–CONH₂ → NH₃ + R–COOH	Organic Nitrogen Transformations	Amidase	ag	"Ekenler and Tabatabai, ""Arylamidase and Amidohydrolases in Soils as Affected by Liming and Tillage Systems."""
K01455	Formamidase [EC:3.5.1.49]	Formamide → NH₃ + formic acid	Organic Nitrogen Transformations	Formamidase	ag
K01207	N-acetyl-β-D-glucosaminidase (NAGase) [EC:3.2.1.52]	Hydrolyzes chitin oligomers into N-acetylglucosamine monomers	Organic Nitrogen Transformations	Chitinase	ag
K01183	ChiC, chitinase [EC:3.2.1.14]	Hydrolyzes β-1,4 linkages in chitin polymers	Organic Nitrogen Transformations	Chitinase	ag
K03791	Putative chitinase	Hydrolyzes chitin or chitooligosaccharides	Organic Nitrogen Transformations	Chitinase	ag
A01		Extracellular peptidases	Organic Nitrogen Transformations	Extracellular Aspartic Peptidase	ag
A02		Extracellular peptidases	Organic Nitrogen Transformations	Extracellular Aspartic Peptidase	ag
A05	Endopeptidase	Extracellular peptidases	Organic Nitrogen Transformations	Extracellular Aspartic Peptidase	ag
A08	Endopeptidase, the bacterial signal peptidase II	Extracellular peptidases	Organic Nitrogen Transformations	Extracellular Aspartic Peptidase	ag
A11		Extracellular peptidases	Organic Nitrogen Transformations	Extracellular Aspartic Peptidase	ag
A22		Extracellular peptidases	Organic Nitrogen Transformations	Extracellular Aspartic Peptidase	ag
A24		Extracellular peptidases	Organic Nitrogen Transformations	Extracellular Aspartic Peptidase	ag
A26	Membrane-inserted endopeptidases	Extracellular peptidases	Organic Nitrogen Transformations	Extracellular Aspartic Peptidase	ag
A28		Extracellular peptidases	Organic Nitrogen Transformations	Extracellular Aspartic Peptidase	ag
A31	Endopeptidases	Extracellular peptidases	Organic Nitrogen Transformations	Extracellular Aspartic Peptidase	ag
A32	PerP peptidase	Extracellular peptidases	Organic Nitrogen Transformations	Extracellular Aspartic Peptidase	ag
A37	Pepstatin-insensitive aspartic endopeptidases	Extracellular peptidases	Organic Nitrogen Transformations	Extracellular Aspartic Peptidase	ag
C01		Extracellular peptidases	Organic Nitrogen Transformations	Extracellular Cysteine Peptidase	ag
C02		Extracellular peptidases	Organic Nitrogen Transformations	Extracellular Cysteine Peptidase	ag
C10	Bacterial cysteine endopeptidases	Extracellular peptidases	Organic Nitrogen Transformations	Extracellular Cysteine Peptidase	ag
C11		Extracellular peptidases	Organic Nitrogen Transformations	Extracellular Cysteine Peptidase	ag
C110	Cysteine endopeptidases	Extracellular peptidases	Organic Nitrogen Transformations	Extracellular Cysteine Peptidase	ag
C113	IgdE peptidase	Extracellular peptidases	Organic Nitrogen Transformations	Extracellular Cysteine Peptidase	ag
C13	Asparaginyl endopeptidases and glycosylphosphatidylinositol:protein transamidase	Extracellular peptidases	Organic Nitrogen Transformations	Extracellular Cysteine Peptidase	ag
C14		Extracellular peptidases	Organic Nitrogen Transformations	Extracellular Cysteine Peptidase	ag
C15	Omega peptidases that release an N-terminal pyroglutamate residue	Extracellular peptidases	Organic Nitrogen Transformations	Extracellular Cysteine Peptidase	ag
C19	Ubiquitinyl hydrolases	Extracellular peptidases	Organic Nitrogen Transformations	Extracellular Cysteine Peptidase	ag
C25	Cysteine endopeptidases from bacteria, notably gingipain R (##C25001##) and gingipain K (##C25002##)	Extracellular peptidases	Organic Nitrogen Transformations	Extracellular Cysteine Peptidase	ag
C26	Omega peptidase gamma-glutamyl hydrolase	Extracellular peptidases	Organic Nitrogen Transformations	Extracellular Cysteine Peptidase	ag
C39	Bacteriocin-processing endopeptidases from bacteria	Extracellular peptidases	Organic Nitrogen Transformations	Extracellular Cysteine Peptidase	ag
C40	Bacterial cell-wall modifying enzymes	Extracellular peptidases	Organic Nitrogen Transformations	Extracellular Cysteine Peptidase	ag
C44	Self-processing precursor of amidophosphoribosyltransferase	Extracellular peptidases	Organic Nitrogen Transformations	Extracellular Cysteine Peptidase	ag
C45	Autolytic endopeptidases	Extracellular peptidases	Organic Nitrogen Transformations	Extracellular Cysteine Peptidase	ag
C46	C-terminal, intein-like domains of the hedgehog proteins, which mediate autolytic cleavage of the proteins	Extracellular peptidases	Organic Nitrogen Transformations	Extracellular Cysteine Peptidase	ag
C47	Endopeptidases	Extracellular peptidases	Organic Nitrogen Transformations	Extracellular Cysteine Peptidase	ag
C51	Endopeptidases that hydrolyse bacterial cell-wall crosslinking peptides	Extracellular peptidases	Organic Nitrogen Transformations	Extracellular Cysteine Peptidase	ag
C56	PfpI endopeptidase of {Pyrococcus furiosus}	Extracellular peptidases	Organic Nitrogen Transformations	Extracellular Cysteine Peptidase	ag
C59	Cys-dependent Ntn-hydrolases	Extracellular peptidases	Organic Nitrogen Transformations	Extracellular Cysteine Peptidase	ag
C60		Extracellular peptidases	Organic Nitrogen Transformations	Extracellular Cysteine Peptidase	ag
C66	Bacterial endopeptidase	Extracellular peptidases	Organic Nitrogen Transformations	Extracellular Cysteine Peptidase	ag
C69	Dipeptidases and aminopeptidases	Extracellular peptidases	Organic Nitrogen Transformations	Extracellular Cysteine Peptidase	ag
C82		Extracellular peptidases	Organic Nitrogen Transformations	Extracellular Cysteine Peptidase	ag
C83	Exopeptidases some of which also have transferase activity	Extracellular peptidases	Organic Nitrogen Transformations	Extracellular Cysteine Peptidase	ag
C89	Self-cleaving precursor protein	Extracellular peptidases	Organic Nitrogen Transformations	Extracellular Cysteine Peptidase	ag
C93	LapG peptidase	Extracellular peptidases	Organic Nitrogen Transformations	Extracellular Cysteine Peptidase	ag
G01	Endopeptidases from fungi	Extracellular peptidases	Organic Nitrogen Transformations	Extracellular Glutamic Peptidase	ag
M01	Aminopeptidases	Extracellular peptidases	Organic Nitrogen Transformations	Extracellular Metallo Peptidase	ag
M02	Metallo-exopeptidases	Extracellular peptidases	Organic Nitrogen Transformations	Extracellular Metallo Peptidase	ag
M03		Extracellular peptidases	Organic Nitrogen Transformations	Extracellular Metallo Peptidase	ag
M04	Metalloendopeptidases	Extracellular peptidases	Organic Nitrogen Transformations	Extracellular Metallo Peptidase	ag
M05	Metalloendopeptidase	Extracellular peptidases	Organic Nitrogen Transformations	Extracellular Metallo Peptidase	ag
M06	Metalloendopeptidases	Extracellular peptidases	Organic Nitrogen Transformations	Extracellular Metallo Peptidase	ag
M07	Metalloendopeptidase, snapalysin	Extracellular peptidases	Organic Nitrogen Transformations	Extracellular Metallo Peptidase	ag
M08	Metallo-endopeptidase leishmanolysin and its homologues	Extracellular peptidases	Organic Nitrogen Transformations	Extracellular Metallo Peptidase	ag
M09		Extracellular peptidases	Organic Nitrogen Transformations	Extracellular Metallo Peptidase	ag
M10		Extracellular peptidases	Organic Nitrogen Transformations	Extracellular Metallo Peptidase	ag
M11	A metallo-endopeptidase, gametolysin	Extracellular peptidases	Organic Nitrogen Transformations	Extracellular Metallo Peptidase	ag
M12		Extracellular peptidases	Organic Nitrogen Transformations	Extracellular Metallo Peptidase	ag
M13	Metalloendopeptidases restricted to action on substrates smaller than proteins	Extracellular peptidases	Organic Nitrogen Transformations	Extracellular Metallo Peptidase	ag
M14		Extracellular peptidases	Organic Nitrogen Transformations	Extracellular Metallo Peptidase	ag
M15		Extracellular peptidases	Organic Nitrogen Transformations	Extracellular Metallo Peptidase	ag
M16		Extracellular peptidases	Organic Nitrogen Transformations	Extracellular Metallo Peptidase	ag
M17	Aminopeptidases	Extracellular peptidases	Organic Nitrogen Transformations	Extracellular Metallo Peptidase	ag
M18	Metalloaminopeptidases	Extracellular peptidases	Organic Nitrogen Transformations	Extracellular Metallo Peptidase	ag
M19	Dipeptidases	Extracellular peptidases	Organic Nitrogen Transformations	Extracellular Metallo Peptidase	ag
M20		Extracellular peptidases	Organic Nitrogen Transformations	Extracellular Metallo Peptidase	ag
M23		Extracellular peptidases	Organic Nitrogen Transformations	Extracellular Metallo Peptidase	ag
M24		Extracellular peptidases	Organic Nitrogen Transformations	Extracellular Metallo Peptidase	ag
M26	Endopeptidases	Extracellular peptidases	Organic Nitrogen Transformations	Extracellular Metallo Peptidase	ag
M28		Extracellular peptidases	Organic Nitrogen Transformations	Extracellular Metallo Peptidase	ag
M30	Endopeptidases	Extracellular peptidases	Organic Nitrogen Transformations	Extracellular Metallo Peptidase	ag
M32	Metallocarboxypeptidases	Extracellular peptidases	Organic Nitrogen Transformations	Extracellular Metallo Peptidase	ag
M34	Highly-selective bacterial endopeptidase	Extracellular peptidases	Organic Nitrogen Transformations	Extracellular Metallo Peptidase	ag
M35	Fungal metalloendopeptidases	Extracellular peptidases	Organic Nitrogen Transformations	Extracellular Metallo Peptidase	ag
M36	Endopeptidases	Extracellular peptidases	Organic Nitrogen Transformations	Extracellular Metallo Peptidase	ag
M38	An omega peptidase	Extracellular peptidases	Organic Nitrogen Transformations	Extracellular Metallo Peptidase	ag
M41	ATP-dependent metalloendopeptidases	Extracellular peptidases	Organic Nitrogen Transformations	Extracellular Metallo Peptidase	ag
M42	Metalloaminopeptidases some of which also have acylaminoacylpeptidase activity	Extracellular peptidases	Organic Nitrogen Transformations	Extracellular Metallo Peptidase	ag
M43		Extracellular peptidases	Organic Nitrogen Transformations	Extracellular Metallo Peptidase	ag
M44	Metalloendopeptidase from the pox viruses	Extracellular peptidases	Organic Nitrogen Transformations	Extracellular Metallo Peptidase	ag
M48		Extracellular peptidases	Organic Nitrogen Transformations	Extracellular Metallo Peptidase	ag
M49	Dipeptidylpeptidase	Extracellular peptidases	Organic Nitrogen Transformations	Extracellular Metallo Peptidase	ag
M50		Extracellular peptidases	Organic Nitrogen Transformations	Extracellular Metallo Peptidase	ag
M54	Aminopeptidases, sometimes termed archaelysins or archaemetzincins	Extracellular peptidases	Organic Nitrogen Transformations	Extracellular Metallo Peptidase	ag
M55	Aminopeptidase and a number of uncharacterised putative peptidases	Extracellular peptidases	Organic Nitrogen Transformations	Extracellular Metallo Peptidase	ag
M56	Membrane-bound bacterial endopeptidases	Extracellular peptidases	Organic Nitrogen Transformations	Extracellular Metallo Peptidase	ag
M57	Endopeptidase	Extracellular peptidases	Organic Nitrogen Transformations	Extracellular Metallo Peptidase	ag
M60	Metalloendopeptidases	Extracellular peptidases	Organic Nitrogen Transformations	Extracellular Metallo Peptidase	ag
M61	Aminopeptidase	Extracellular peptidases	Organic Nitrogen Transformations	Extracellular Metallo Peptidase	ag
M64	Highly selective metalloendopeptidase	Extracellular peptidases	Organic Nitrogen Transformations	Extracellular Metallo Peptidase	ag
M66	A single metallopeptidase	Extracellular peptidases	Organic Nitrogen Transformations	Extracellular Metallo Peptidase	ag
M67		Extracellular peptidases	Organic Nitrogen Transformations	Extracellular Metallo Peptidase	ag
M72	Metallo-endopeptidases	Extracellular peptidases	Organic Nitrogen Transformations	Extracellular Metallo Peptidase	ag
M73	Metallo-endopeptidases	Extracellular peptidases	Organic Nitrogen Transformations	Extracellular Metallo Peptidase	ag
M74	Murein endopeptidase MepA	Extracellular peptidases	Organic Nitrogen Transformations	Extracellular Metallo Peptidase	ag
M75	Metalloendopeptidases	Extracellular peptidases	Organic Nitrogen Transformations	Extracellular Metallo Peptidase	ag
M76	Endopeptidases	Extracellular peptidases	Organic Nitrogen Transformations	Extracellular Metallo Peptidase	ag
M78	Metallo-endopeptidases	Extracellular peptidases	Organic Nitrogen Transformations	Extracellular Metallo Peptidase	ag
M79	Specialised endopeptidases that typically cleave a C-terminal tripeptide from an isoprenylated protein	Extracellular peptidases	Organic Nitrogen Transformations	Extracellular Metallo Peptidase	ag
M81	Metallopeptidases	Extracellular peptidases	Organic Nitrogen Transformations	Extracellular Metallo Peptidase	ag
M82	Endopeptidases	Extracellular peptidases	Organic Nitrogen Transformations	Extracellular Metallo Peptidase	ag
M84	Endopeptidases	Extracellular peptidases	Organic Nitrogen Transformations	Extracellular Metallo Peptidase	ag
M85	Endopeptidases	Extracellular peptidases	Organic Nitrogen Transformations	Extracellular Metallo Peptidase	ag
M86	Poly-gamma-glutamyl hydrolases	Extracellular peptidases	Organic Nitrogen Transformations	Extracellular Metallo Peptidase	ag
M88	Endopeptidases	Extracellular peptidases	Organic Nitrogen Transformations	Extracellular Metallo Peptidase	ag
M93		Extracellular peptidases	Organic Nitrogen Transformations	Extracellular Metallo Peptidase	ag
M96	signaling peptidase	Extracellular peptidases	Organic Nitrogen Transformations	Extracellular Metallo Peptidase	ag
M97		Extracellular peptidases	Organic Nitrogen Transformations	Extracellular Metallo Peptidase	ag
M98		Extracellular peptidases	Organic Nitrogen Transformations	Extracellular Metallo Peptidase	ag
N04	Tsh-associated self-cleaving domain	Extracellular peptidases	Organic Nitrogen Transformations	Extracellular Asparagine Peptidase	ag
N10		Extracellular peptidases	Organic Nitrogen Transformations	Extracellular Asparagine Peptidase	ag
N11	Self-cleaving proteins	Extracellular peptidases	Organic Nitrogen Transformations	Extracellular Asparagine Peptidase	ag
P01	Aminopeptidases and self-processing proteins	Extracellular peptidases	Organic Nitrogen Transformations	Mixed Peptidase	ag
S01		Extracellular peptidases	Organic Nitrogen Transformations	Extracellular Serine Peptidase	ag
S06	Serine endopeptidases of bacteria	Extracellular peptidases	Organic Nitrogen Transformations	Extracellular Serine Peptidase	ag
S08		Extracellular peptidases	Organic Nitrogen Transformations	Extracellular Serine Peptidase	ag
S09		Extracellular peptidases	Organic Nitrogen Transformations	Extracellular Serine Peptidase	ag
S10	Carboxypeptidases	Extracellular peptidases	Organic Nitrogen Transformations	Extracellular Serine Peptidase	ag
S11	Serine-type D-Ala-D-Ala carboxypeptidases	Extracellular peptidases	Organic Nitrogen Transformations	Extracellular Serine Peptidase	ag
S12	Serine-type D-Ala-D-Ala carboxypeptidases	Extracellular peptidases	Organic Nitrogen Transformations	Extracellular Serine Peptidase	ag
S13	Peptidases that cleave D-Ala bonds, acting either as carboxypeptidases or as atypical 'endopeptidases'	Extracellular peptidases	Organic Nitrogen Transformations	Extracellular Serine Peptidase	ag
S14	Endopeptidase Clp and its homologues	Extracellular peptidases	Organic Nitrogen Transformations	Extracellular Serine Peptidase	ag
