name	alias	rule	topic_ecosystem	notes
	IronReductionGenes	mtrCAB | omcF | omcS | omcZ | FmnA | ExtABCD	energy
	mtrCAB	MtrA & MtrB_TIGR03509 & MtrC_TIGR03507	energy
	ExtABCD	ExtA_pcc_cyt | ExtB_porin | ExtC_pcc_lp_cyt | ExtD_pcc_lp_cyt	energy
N reducer	Nreducer	ETC50 & [[NarNitrateReductase|NapNitrateReductase] | NitriteReductase | NitricOxideReductase | NitrousOxideReductase]	energy
	TetrathionateReduction	[1ofttrrs & 1ofttrabc] | 2ofttrabc	energy
	1ofttrrs	K13040 | K13041	energy
	2ofttrabc	at_least(2, PRESENCE, ttrabc)	energy
	1ofttrabc	at_least(1, PRESENCE, ttrabc)	energy
	ttrabc	K08359,K08358,K08357	energy
DNRA	DNRA	nirBD | nrfAH	energy
	nirBD	K00362 | K00363	energy
	nrfAH	K03385 | K15876	energy
Methanotroph	Methanotroph	TRUEPmoA | mmoX	energy
	ProbablePmoA	K10944 | EC:1.14.18.3	energy
	TRUEPmoA	 pmoa_alpha_1 | pmoa_alpha_2 | pmoa_crenothrix | pmoa_gamma | pmoa_methyl_eth | pmoa_methylomirabilis | pmoa_verr | pmoa_actinobacteria_chloroflexota	energy
	mmoX	K16157	energy
S oxidizer	sulfateoxidizer	[DsrABtypeo | SoeABC | SorAB | Sqr | FccAB | SoxXA | SoxYZ | SoxB | SoxCD] & percent50NADH	energy
	DsrABtypeo	K11180 | dsrA | dsrB | K11181	energy
	SoeABC	K21307 | K21308 | K21309	energy
	SorAB	K05301 | K00386	energy
	Sqr	sqr_alignment | K17218	energy
	FccAB	K17230 | K17229	energy
	SoxXA	K17223 | K17222	energy
	SoxYZ	SoxY | K17226 | SoxZ | K17227	energy
	SoxB	K17224	energy
	SoxCD	K17225 | K22622	energy
	percent50NADH	percent(50,NADH)	energy
	NADH	K03934,K03935,K03936,K03937,K03938,K03939,K03940,K03941,K03942,K03943,K03944	energy
Sulfate Reduction	sulfatereducer	DsrABtyper 	energy
	DsrABtyper	K11180 | dsrA | dsrB | K11181	energy
Non-sulfate sulfur reduction	ThiosulfateOrTetrathionate	K08352|TetrathionateReduction	energy
Sulfur Disproporationation	SulfurDisproporationation	K00958 & [K00394 | K00395] & [K11180 | K11181]	energy
Simple Sugars Glucose	Glucose	K02777 | K02779 | K02791 | K20118 | K18124 | K18125 | K00115 | K00117 | K19813 | K18851 | K00844 | K12407 | K00845 | K25026	carbon	combine all under one
Simple Sugars Sucrose	Sucrose	K01182 | K01203 | K12047 | K01187 | K12316 | K12317 | K06617 | K01193 | K00695 | K02810 | K00690 | K05341 | K00689 | K00692	carbon
Simple Sugars Mannose	Mannose	[K01809 | K02793 | K02794 | K02795] | K02796	carbon
Simple Sugars Galactose	Galactose	[K00849 | K00965 | K01784] | K01785	carbon
Simple Sugars Fucose	Fucose	[K00879 | K01628] | K01818	carbon
Simple Sugars Xylose	Xylose	[K00854 | K01805 | K00008 | K00011 | K00854 | K05351 | K17743 | K00078 | K14273 | K14274] | K14275	carbon
Simple Sugars Fructose	Fructose	K00008 | K00045 | K27924 | K00007 | K00844 | K00847 | K01805 | K00846 | K27475 | K02768 | K02769 | K02770 | K02771 | K11194 | K11195 | K11196	carbon
Simple Sugars Arabinose	Arabinose	K01804 | K00011 | K26066 | K13873 | K19660 | K12446	carbon
Simple Sugars Ribose	Ribose	K00852	carbon
Simple Sugars Rhamnose	Rhamnose	K01813 | K01820 | K18337	carbon
Simple Sugars Maltose	Maltose	K05343 | K00691 | K06896 | K16146 | K00705 | K22451 | K12047 | K01187 | K12316 | K12317	carbon
Simple Sugars Raffinose	Raffinose	K006611 | K01193 | K01189 | K07406 | K07407	carbon
Simple Sugars Sorbose	Sorbose	K02812 | K02813 | K02814 | K02815	carbon
Simple Sugars Trehalose	Trehalose	K12437 | K02777 | K02819 | K01194 | K22934 | K05342 | K05343	carbon
